,boliga_id,address1,address2,zipcode,list_price,living_area,lot_area,rooms,floors,construction_date,energy_rating,taxes_pr_month,bsmnt_area,station_dist_km,created_date,url,gmaps,market_days
0,1764784,Skytteengen 17, 3450 Allerød,3450,3645000,152,129,5,0,1988,B,4074,0,62.2,2021-03-27,https://www.boliga.dk/bolig/1764784,"https://maps.google.com/?q=55.2571,11.27084",0
0,1764349,Bygvænget 10, 3450 Allerød,3450,4995000,153,800,4,0,1969,C,4352,0,20.97,2021-03-27,https://www.boliga.dk/bolig/1764349,"https://maps.google.com/?q=56.102789,12.190414",0
0,1764556,Mågevang 14, 3450 Allerød,3450,7495000,170,700,5,0,2018,A20,4934,0,1.83,2021-03-27,https://www.boliga.dk/bolig/1764556,"https://maps.google.com/?q=55.887438,12.357308",0
0,1764112,Lærkenborg Alle 45, 3450 Allerød,3450,4995000,139,700,6,0,1981,C,4201,0,1.41,2021-03-26,https://www.boliga.dk/bolig/1764112,"https://maps.google.com/?q=55.861731,12.341573",1
0,1762782,Gøgevang 6, 3450 Allerød,3450,3145000,117,700,4,0,1967,D,3886,0,41.72,2021-03-24,https://www.boliga.dk/bolig/1762782,"https://maps.google.com/?q=55.958077,11.435257",3
0,1762055,Meisevang 8, 3450 Allerød,3450,4495000,127,890,4,0,1967,D,4598,127,1.91,2021-03-23,https://www.boliga.dk/bolig/1762055,"https://maps.google.com/?q=55.888062,12.360315",4
0,1759800,Pilealle 14, 3450 Allerød,3450,4995000,184,829,5,0,1952,D,4777,0,92.87,2021-03-17,https://www.boliga.dk/bolig/1759800,"https://maps.google.com/?q=56.156237,10.691566",10
0,1759557,Prøvestens Alle 1, 3450 Allerød,3450,9995000,240,1344,6,0,1916,D,7552,40,0.83,2021-03-17,https://www.boliga.dk/bolig/1759557,"https://maps.google.com/?q=55.870563,12.343783",10
0,1759025,Birkevej 13, 3450 Allerød,3450,3850000,80,788,3,0,1950,F,3287,60,126.52,2021-03-15,https://www.boliga.dk/bolig/1759025,"https://maps.google.com/?q=55.191869,10.246941",12
0,1759014,Cortlandvej 4, 3450 Allerød,3450,5645000,162,876,5,0,1998,C,4763,0,1.63,2021-03-15,https://www.boliga.dk/bolig/1759014,"https://maps.google.com/?q=55.881483,12.338848",12
0,1756416,Gl Lyngevej 43, 3450 Allerød,3450,4995000,143,1030,4,0,1923,C,4707,0,1.31,2021-03-09,https://www.boliga.dk/bolig/1756416,"https://maps.google.com/?q=55.8617374,12.3440905",18
0,1755427,Bakkevej 27, 3450 Allerød,3450,4145000,122,1121,4,0,1959,F,4198,0,17.23,2021-03-06,https://www.boliga.dk/bolig/1755427,"https://maps.google.com/?q=55.760982,11.825118",21
0,1753999,Birkedalsvej 3, 3450 Allerød,3450,4575000,123,713,3,0,1985,B,4509,123,4.29,2021-03-03,https://www.boliga.dk/bolig/1753999,"https://maps.google.com/?q=55.834099,12.155817",24
0,1753621,Gl Amtsvej 28, 3450 Allerød,3450,2775000,129,805,5,0,1901,D,4104,0,0.2,2021-03-02,https://www.boliga.dk/bolig/1753621,"https://maps.google.com/?q=55.869645,12.359065",25
0,1751327,Gravenstensvej 21, 3450 Allerød,3450,4795000,130,715,5,0,1957,D,4022,0,0.84,2021-02-23,https://www.boliga.dk/bolig/1751327,"https://maps.google.com/?q=55.866646,12.345971",32
