boliga_id;address1;address2;zipcode;list_price;living_area;lot_area;rooms;floors;construction_date;energy_rating;taxes_pr_month;bsmnt_area;station_dist_km;created_date;market_days;url;gmaps
1746114;Hyrdeengen 219; 2625 Vallensbæk;2625;3195000.0;125.0;182.0;4.0;0.0;1975.0;D;3305.0;0.0;;2021-02-07 00:00:00;0;https://www.boliga.dk/bolig/1746114;https://maps.google.com/?q=55.651489,12.365411
1746093;Frydenhøjparken 42; 2650 Hvidovre;2650;3445000.0;122.0;307.0;5.0;0.0;1965.0;C;3377.0;0.0;;2021-02-07 00:00:00;0;https://www.boliga.dk/bolig/1746093;https://maps.google.com/?q=55.622487,12.464444
1746061;Nordre Kystagervej 45; 2650 Hvidovre;2650;8695000.0;179.0;808.0;4.0;0.0;1950.0;D;5415.0;54.0;;2021-02-07 00:00:00;0;https://www.boliga.dk/bolig/1746061;https://maps.google.com/?q=55.634236,12.500178
1745841;Smedevænget 39; Marbjerg;2640;2695000.0;111.0;700.0;3.0;0.0;1959.0;G;3003.0;0.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745841;https://maps.google.com/?q=55.866499,9.36335
1745967;Bakkegade 3B; 3400 Hillerød;3400;2995000.0;85.0;318.0;4.0;0.0;1905.0;B;1901.0;0.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745967;https://maps.google.com/?q=55.932177,12.307813
1745936;Juni Alle 19; 2860 Søborg;2860;3995000.0;122.0;583.0;6.0;0.0;1960.0;E;3715.0;87.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745936;https://maps.google.com/?q=55.726474,12.468908
1745734;Vejgårdsparken 8; 3450 Allerød;3450;4395000.0;145.0;800.0;5.0;0.0;1974.0;C;4423.0;0.0;1.32;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745734;https://maps.google.com/?q=55.863195,12.343665
1745941;Digevangsvej 11; 2600 Glostrup;2600;4595000.0;130.0;595.0;4.0;0.0;1953.0;D;3257.0;83.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745941;https://maps.google.com/?q=55.670497,12.40626
1745945;Kathrinebjergvej 25; 2665 Vallensbæk Strand;2665;4995000.0;117.0;624.0;4.0;0.0;1979.0;D;4621.0;0.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745945;https://maps.google.com/?q=55.616685,12.381481
1745934;Svenstrupvej 12; 2970 Hørsholm;2970;4995000.0;127.0;1109.0;4.0;0.0;1880.0;D;5603.0;0.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745934;https://maps.google.com/?q=55.696383,12.490672
1745801;Elme Alle 31; 2630 Taastrup;2630;5100000.0;175.0;827.0;6.0;0.0;1920.0;D;3908.0;8.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745801;https://maps.google.com/?q=55.648317,12.305108
1745866;Birkevænget 9; 3520 Farum;3520;5200000.0;156.0;1046.0;5.0;0.0;1980.0;C;5338.0;0.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745866;https://maps.google.com/?q=55.203622,10.417136
1745940;Havrevænget 7; Gl Holte;2840;6195000.0;167.0;1200.0;4.0;0.0;1967.0;C;7020.0;17.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745940;https://maps.google.com/?q=55.266551,10.427882
1745947;Blovstrød Byvej 24; 3450 Allerød;3450;7125000.0;268.0;1102.0;7.0;0.0;1870.0;C;5734.0;0.0;1.99;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745947;https://maps.google.com/?q=55.867788,12.388009
1745942;Lykkevej 14; 2920 Charlottenlund;2920;13995000.0;177.0;701.0;5.0;0.0;1929.0;D;8665.0;97.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745942;https://maps.google.com/?q=56.992954,9.885851
1745964;Skovshovedvej 23A; 2920 Charlottenlund;2920;20000000.0;238.0;1235.0;6.0;0.0;1919.0;F;10927.0;132.0;;2021-02-06 00:00:00;1;https://www.boliga.dk/bolig/1745964;https://maps.google.com/?q=55.758346,12.590922
1745583;Poppelvej 1; 3400 Hillerød;3400;2495000.0;109.0;734.0;3.0;0.0;1962.0;C;2676.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745583;https://maps.google.com/?q=55.917119,11.910835
1745373;Gevninge Bakkedrag 3; Gevninge;4000;2795000.0;126.0;701.0;4.0;0.0;1962.0;D;2883.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745373;https://maps.google.com/?q=55.641842,11.959858
1745176;Duevej 7; 2630 Taastrup;2630;3250000.0;119.0;657.0;5.0;0.0;1957.0;C;3402.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745176;https://maps.google.com/?q=55.690487,9.263104
1745194;Åvang 7; 3400 Hillerød;3400;3495000.0;133.0;825.0;4.0;0.0;1930.0;D;3447.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745194;https://maps.google.com/?q=55.719331,9.533372
1745404;Kærvej 9; 4000 Roskilde;4000;3595000.0;117.0;905.0;3.0;0.0;1900.0;D;3495.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745404;https://maps.google.com/?q=55.819399,12.016293
1745195;Skovledet 144; 3400 Hillerød;3400;3595000.0;136.0;862.0;5.0;0.0;1968.0;D;3821.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745195;https://maps.google.com/?q=55.941569,12.325954
1745456;Muslingevej 29; 2650 Hvidovre;2650;4095000.0;111.0;760.0;5.0;0.0;1937.0;C;4646.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745456;https://maps.google.com/?q=56.209498,10.277675
1745196;Kongens Vænge 63; 3400 Hillerød;3400;4150000.0;160.0;992.0;6.0;0.0;1973.0;C;4311.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745196;https://maps.google.com/?q=55.93631,12.353259
1745486;Markskellet 15B; 3400 Hillerød;3400;4845000.0;171.0;829.0;5.0;0.0;2011.0;B;4649.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745486;https://maps.google.com/?q=55.934101,12.33135
1745398;Espevangen 6B; 2860 Søborg;2860;5495000.0;210.0;800.0;8.0;0.0;1962.0;C;3861.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745398;https://maps.google.com/?q=55.749508,12.477113
1745395;Bagsværdvej 87B; 2800 Kongens Lyngby;2800;5845000.0;137.0;916.0;4.0;0.0;1926.0;E;5076.0;52.0;1.32;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745395;https://maps.google.com/?q=55.764761,12.482951
1745385;Egegårdsvej 24A; 2800 Kongens Lyngby;2800;6495000.0;137.0;968.0;5.0;0.0;1963.0;E;6007.0;0.0;9.74;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745385;https://maps.google.com/?q=55.684135,12.461039
1745482;Korterupvej 1; 2730 Herlev;2730;6500000.0;166.0;721.0;4.0;0.0;1960.0;B;4360.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745482;https://maps.google.com/?q=54.764953,11.298109
1745536;Højgårds Alle 39; 2880 Bagsværd;2880;7495000.0;130.0;962.0;4.0;0.0;1964.0;C;6269.0;130.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745536;https://maps.google.com/?q=55.763612,12.444504
1745266;V M Amdrupvej 10; 3520 Farum;3520;7750000.0;241.0;1240.0;8.0;0.0;1969.0;C;7594.0;185.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745266;https://maps.google.com/?q=56.30939,10.129971
1745171;Byledet 27; 2820 Gentofte;2820;8950000.0;218.0;1012.0;6.0;0.0;1935.0;C;6985.0;113.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745171;https://maps.google.com/?q=55.748029,12.522325
1745390;C L Ibsens Vej 54; 2820 Gentofte;2820;10995000.0;193.0;830.0;5.0;0.0;1944.0;B;5847.0;92.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745390;https://maps.google.com/?q=55.755982,12.534217
1745450;Kong Valdemars Vej 66; Søllerød;2840;12800000.0;177.0;1200.0;5.0;0.0;1984.0;C;8680.0;38.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745450;https://maps.google.com/?q=55.816682,12.517411
1745607;Attemosevej 162; 2840 Holte;2840;13000000.0;368.0;2247.0;8.0;0.0;1877.0;D;8956.0;187.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745607;https://maps.google.com/?q=55.827796,12.51617
1745460;Hellerupvej 61; 2900 Hellerup;2900;16500000.0;264.0;681.0;9.0;0.0;1904.0;F;7454.0;110.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745460;https://maps.google.com/?q=55.734489,12.559705
1745483;V.Stuckenbergs Vej 21A; 2800 Kongens Lyngby;2800;20500000.0;259.0;1017.0;6.0;0.0;1960.0;D;11383.0;0.0;;2021-02-05 00:00:00;2;https://www.boliga.dk/bolig/1745483;https://maps.google.com/?q=
1744716;Bakkeboager 16; 2640 Hedehusene;2640;2395000.0;178.0;700.0;7.0;0.0;1877.0;-;3510.0;0.0;;2021-02-04 00:00:00;3;https://www.boliga.dk/bolig/1744716;https://maps.google.com/?q=55.645623,12.231428
